file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\KeySpecParser.java,org.dslul.openboard.inputmethod.keyboard.internal.KeySpecParser$KeySpecParserError,innerclass,0,0,0,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,25,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,class,11,13,2,11,16,1,0,26,0,0.0,1.0,1.0,3,3,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,7,75,9,1,6,3,0,7,1,11,2,10,3,0,0,0,97,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\XmlParseUtils.java,org.dslul.openboard.inputmethod.latin.utils.XmlParseUtils$IllegalAttribute,innerclass,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,11,25,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,class,6,8,2,6,4,2,0,14,0,0.44444445,0.6666667,1.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,2,0,0,28,0,0,1,0,2,0,4,8,8,8,0,0,0,0,34,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,class,3,6,3,3,16,1,0,11,9,0.64285713,0.5,0.5,7,6,4,3,0,0,4,0,0,0,4,4,0,4,0,0,4,0,8,62,12,2,0,1,0,0,16,14,0,14,1,0,0,0,84,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,class,6,11,5,6,11,1,3,2,22,0.75,0.10714286,0.14285715,8,0,6,0,2,0,8,3,2,0,3,0,0,3,0,0,0,0,0,26,1,0,1,0,1,0,2,3,0,3,1,0,0,0,74,1025,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\BinaryDictionaryGetter.java,org.dslul.openboard.inputmethod.latin.BinaryDictionaryGetter$DictPackSettings,innerclass,2,2,0,2,4,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,12,2,0,2,0,0,0,0,1,0,1,1,0,0,0,16,26,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\common\CodePointUtils.java,org.dslul.openboard.inputmethod.latin.common.CodePointUtils,class,3,3,0,3,8,1,0,5,3,0.6666667,0.0,0.0,3,2,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,10,29,2,2,0,0,9,0,45,8,14,7,2,0,0,0,33,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\userdictionary\UserDictionaryLocalePicker.java,org.dslul.openboard.inputmethod.latin.userdictionary.UserDictionaryLocalePicker$LocationChangedListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\settings\SettingsFragment.java,org.dslul.openboard.inputmethod.latin.settings.SettingsFragment,class,14,17,3,14,16,2,0,26,8,0.6666667,0.16666667,0.16666667,5,1,4,1,0,0,4,0,0,0,3,3,0,3,0,0,3,0,6,61,6,0,7,0,0,1,4,11,1,11,2,0,0,0,70,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\compat\ClipboardManagerCompat.java,org.dslul.openboard.inputmethod.compat.ClipboardManagerCompat,class,3,3,0,3,4,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,2,0,0,0,0,1,0,0,0,13,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\BatchInputArbiter.java,org.dslul.openboard.inputmethod.keyboard.internal.BatchInputArbiter,class,5,7,2,5,15,1,0,17,0,0.62222224,0.8055556,1.0,9,0,9,0,0,0,9,0,0,0,5,4,0,5,0,0,2,0,0,76,6,0,2,0,2,0,6,14,2,10,2,0,1,0,127,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\KeyboardId.java,org.dslul.openboard.inputmethod.keyboard.KeyboardId,class,5,15,10,5,95,1,0,22,91,0.89743584,0.06666667,0.14285715,18,6,15,3,0,0,15,0,0,0,52,37,51,1,0,0,52,0,10,206,57,0,29,0,15,59,40,53,0,53,1,0,0,0,111,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\GestureEnabler.java,org.dslul.openboard.inputmethod.keyboard.internal.GestureEnabler,class,1,3,2,1,5,1,0,3,2,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,24,1,0,0,0,0,0,0,4,0,4,0,0,0,0,26,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\XmlParseUtils.java,org.dslul.openboard.inputmethod.latin.utils.XmlParseUtils$NonEmptyTag,innerclass,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,25,0
