file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",TAG,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",TAG,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createReadOnlyBinaryDictionary/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",TAG,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,"SetupStepIndicatorView/2[org.dslul.openboard.inputmethod.latin.setup.Context,org.dslul.openboard.inputmethod.latin.setup.AttributeSet]",mIndicatorPaint,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,"setIndicatorPosition/2[int,int]",mXRatio,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,onDraw/1[org.dslul.openboard.inputmethod.latin.setup.Canvas],mIndicatorPath,6
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,onDraw/1[org.dslul.openboard.inputmethod.latin.setup.Canvas],mXRatio,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,onDraw/1[org.dslul.openboard.inputmethod.latin.setup.Canvas],mIndicatorPaint,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseLabel/1[java.lang.String],BASE_HEX,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseLabel/1[java.lang.String],COMMA_REGEX,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseCode/1[java.lang.String],COMMA,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseCode/1[java.lang.String],BASE_HEX,1
