file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\KeySpecParser.java,org.dslul.openboard.inputmethod.keyboard.internal.KeySpecParser$KeySpecParserError,KeySpecParserError/1[java.lang.String],true,251,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",false,83,5,6,1,5,4,11,19,2,2,2,11,0,0,0,1,1,0,3,0,2,0,2,0,0,0,39,9,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",false,47,7,10,2,8,5,7,21,2,3,2,7,2,1,1,2,0,0,1,0,3,0,3,0,0,0,57,9,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createReadOnlyBinaryDictionary/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",false,128,4,3,1,2,7,9,32,5,4,2,9,0,0,0,3,2,0,3,1,5,2,3,0,0,0,46,10,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\XmlParseUtils.java,org.dslul.openboard.inputmethod.latin.utils.XmlParseUtils$IllegalAttribute,"IllegalAttribute/3[org.dslul.openboard.inputmethod.latin.utils.XmlPullParser,java.lang.String,java.lang.String]",true,55,1,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,"SetupStepIndicatorView/2[org.dslul.openboard.inputmethod.latin.setup.Context,org.dslul.openboard.inputmethod.latin.setup.AttributeSet]",true,35,2,0,0,0,1,4,5,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,"setIndicatorPosition/2[int,int]",false,41,0,1,1,0,2,2,7,0,3,2,2,0,0,0,1,0,1,0,3,4,5,0,0,0,0,17,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\setup\SetupStepIndicatorView.java,org.dslul.openboard.inputmethod.latin.setup.SetupStepIndicatorView,onDraw/1[org.dslul.openboard.inputmethod.latin.setup.Canvas],false,52,1,0,0,0,1,8,11,0,2,1,8,0,0,0,0,0,1,0,1,2,3,0,0,0,0,13,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseLabel/1[java.lang.String],false,57,1,3,2,1,2,5,9,1,3,1,5,1,1,1,0,0,0,0,0,3,0,1,0,0,0,23,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseCode/1[java.lang.String],false,87,1,2,1,1,2,3,7,2,1,1,3,1,1,0,0,0,0,0,1,1,0,1,0,0,0,11,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,CodesArrayParser/0,true,45,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,getMinSupportSdkVersion/1[java.lang.String],false,75,0,2,2,0,3,2,12,3,1,1,2,0,0,0,0,1,0,0,5,1,0,1,0,0,0,13,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,parseOutputText/1[java.lang.String],false,95,1,3,2,1,3,6,12,2,3,1,6,1,1,1,0,0,0,0,1,3,0,1,0,0,0,25,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,getLabelSpec/1[java.lang.String],false,49,0,1,1,0,2,1,7,2,1,1,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,6,10,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\CodesArrayParser.java,org.dslul.openboard.inputmethod.keyboard.internal.CodesArrayParser,getCodeSpec/1[java.lang.String],false,67,0,2,2,0,3,2,7,2,1,1,2,0,0,0,0,0,0,0,5,1,0,1,0,0,0,6,10,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,setDrawingView/1[org.dslul.openboard.inputmethod.keyboard.internal.DrawingPreviewPlacerView],false,37,2,2,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,"setKeyboardViewGeometry/3[int[],int,int]",false,67,2,1,1,0,3,0,3,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,46,1,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,drawPreview/1[org.dslul.openboard.inputmethod.keyboard.internal.Canvas],false,73,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,setPreviewPosition/1[org.dslul.openboard.inputmethod.keyboard.PointerTracker],false,79,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1025,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,invalidateDrawingView/0,false,42,0,5,5,0,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,onDeallocateMemory/0,false,71,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,isPreviewEnabled/0,false,48,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\AbstractDrawingPreview.java,org.dslul.openboard.inputmethod.keyboard.internal.AbstractDrawingPreview,setPreviewEnabled/1[boolean],false,52,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,17,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\BinaryDictionaryGetter.java,org.dslul.openboard.inputmethod.latin.BinaryDictionaryGetter$DictPackSettings,isWordListActive/1[java.lang.String],false,123,0,1,1,0,2,1,6,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,false
