file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\KeySpecParser.java,org.dslul.openboard.inputmethod.keyboard.internal.KeySpecParser$KeySpecParserError,KeySpecParserError/1[java.lang.String],message,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",e,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",f,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",context,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",providerClient,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"killDictionary/2[org.dslul.openboard.inputmethod.latin.Context,org.dslul.openboard.inputmethod.latin.AssetFileAddress]",wordlistId,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",assetFileList,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",f,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",context,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",readOnlyBinaryDictionary,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",locale,6
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createMainDictionaryFromManager/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",dictList,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createReadOnlyBinaryDictionary/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",packagePath,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\DictionaryFactory.java,org.dslul.openboard.inputmethod.latin.DictionaryFactory,"createReadOnlyBinaryDictionary/2[org.dslul.openboard.inputmethod.latin.Context,java.util.Locale]",sourceDir,4
