file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\main\java\com\alipay\sofa\ark\springboot1\CompatibleSpringBoot1AutoConfiguration.java,com.alipay.sofa.ark.springboot1.CompatibleSpringBoot1AutoConfiguration$ConditionIntrospectEndpointConfiguration,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,9,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\event\EventTest.java,com.alipay.sofa.ark.container.service.event.EventTest$BeforeBizSwitchEventHandler,innerclass,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,8,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\ArkAutoConfiguration.java,com.alipay.sofa.ark.springboot.ArkAutoConfiguration,class,7,7,0,7,2,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\LibraryScope.java,com.alipay.sofa.ark.tools.LibraryScope,interface,1,7,6,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,38,0,0,0,0,0,0,0,6,0,6,0,6,0,0,41,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,innerclass,2,2,0,2,9,3,0,7,2,0.6,0.4,0.6,5,0,4,0,1,0,5,0,0,0,3,1,0,3,0,0,2,0,1,33,6,0,4,0,2,0,11,8,0,6,1,0,0,0,32,10,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,class,1,2,1,1,9,1,0,0,12,0.6666667,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,33,5,0,0,0,0,5,0,4,2,4,0,0,0,0,14,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,class,7,7,0,7,4,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,7,0,6,0,6,1,0,1,0,26,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\LibraryCallback.java,com.alipay.sofa.ark.tools.LibraryCallback,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\classloader\BizClassLoaderTest.java,com.alipay.sofa.ark.container.service.classloader.BizClassLoaderTest,class,23,24,1,23,14,2,0,70,0,0.47692308,0.8181818,0.8181818,13,0,11,2,0,0,11,0,0,0,5,0,0,5,0,0,0,0,20,190,1,0,0,0,1,78,2,51,1,51,1,0,0,2,92,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkDisabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkDisabledTest$EmptyConfiguration,innerclass,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
