file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\main\java\com\alipay\sofa\ark\springboot1\CompatibleSpringBoot1AutoConfiguration.java,com.alipay.sofa.ark.springboot1.CompatibleSpringBoot1AutoConfiguration$ConditionIntrospectEndpointConfiguration,introspectBizEndpoint/0,false,43,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\event\EventTest.java,com.alipay.sofa.ark.container.service.event.EventTest$BeforeBizSwitchEventHandler,getPriority/0,false,249,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\event\EventTest.java,com.alipay.sofa.ark.container.service.event.EventTest$BeforeBizSwitchEventHandler,handleEvent/1[com.alipay.sofa.ark.spi.event.biz.BeforeBizSwitchEvent],false,244,2,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\ArkAutoConfiguration.java,com.alipay.sofa.ark.springboot.ArkAutoConfiguration,serviceInjectProcessor/0,false,47,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\ArkAutoConfiguration.java,com.alipay.sofa.ark.springboot.ArkAutoConfiguration,arkEventHandlerProcessor/0,false,52,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,hasZipHeader/0,false,330,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,read/0,false,306,0,0,0,0,3,2,8,2,1,0,2,0,0,0,2,0,1,0,2,2,0,1,0,0,0,5,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,"read/3[byte[],int,int]",false,321,1,1,1,0,3,2,8,2,1,3,2,0,0,0,2,0,1,0,2,2,0,1,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,ZipHeaderPeekInputStream/1[java.io.InputStream],true,298,1,1,1,0,1,1,6,0,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,12,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,read/1[byte[]],false,316,2,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,setSuccess/1[boolean],false,30,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,getErrorMsg/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,setErrorMsg/1[java.lang.String],false,38,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
