file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\event\EventTest.java,com.alipay.sofa.ark.container.service.event.EventTest$BeforeBizSwitchEventHandler,handleEvent/1[com.alipay.sofa.ark.spi.event.biz.BeforeBizSwitchEvent],event,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,read/0,read,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,"read/3[byte[],int,int]",b,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,"read/3[byte[],int,int]",read,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,"read/3[byte[],int,int]",len,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,"read/3[byte[],int,int]",off,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,ZipHeaderPeekInputStream/1[java.io.InputStream],len,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,ZipHeaderPeekInputStream/1[java.io.InputStream],in,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java,com.alipay.sofa.ark.tools.JarWriter$ZipHeaderPeekInputStream,read/1[byte[]],b,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,setSuccess/1[boolean],success,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,setErrorMsg/1[java.lang.String],errorMsg,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,setErrorCode/1[java.lang.String],errorCode,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\core\spi\src\main\java\com\alipay\sofa\ark\spi\ext\ExtResponse.java,com.alipay.sofa.ark.spi.ext.ExtResponse,setData/1[T],data,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,testIntrospectBizEndpoint/0,springApplication,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,testIntrospectBizEndpoint/0,applicationContext,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,testDisableBizStateEndpoint/0,springApplication,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,testDisableBizStateEndpoint/0,applicationContext,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,testDisableBizStateEndpoint/0,properties,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,removeTomcatInit/0,t,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java,com.alipay.sofa.ark.test.springboot1.IntrospectBizEndpointOnArkEnabledTest,removeTomcatInit/0,urlFactory,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sofa-ark\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\LibraryCallback.java,com.alipay.sofa.ark.tools.LibraryCallback,library/1[com.alipay.sofa.ark.tools.Library],library,0
