file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\mapper\TestSuitesDevicesMapper.java,org.cloud.sonic.controller.mapper.TestSuitesDevicesMapper,interface,2,4,2,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,class,8,9,1,8,10,1,0,16,3,0.33333334,0.5,0.5,6,0,4,2,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,117,1,0,1,1,5,91,18,27,32,26,1,0,0,0,71,1,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\dto\StepsElementsDTO.java,org.cloud.sonic.controller.models.dto.StepsElementsDTO,class,9,11,2,9,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,16,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\quartz\QuartzHandler.java,org.cloud.sonic.controller.quartz.QuartzHandler,class,15,18,3,15,37,1,0,42,0,0.54545456,0.82222223,1.0,11,0,10,1,0,0,10,0,0,0,4,0,0,4,0,0,1,0,1,205,3,2,6,10,0,61,7,45,18,32,3,0,0,0,52,1,16
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\domain\Versions.java,org.cloud.sonic.controller.models.domain.Versions,class,18,23,5,18,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,4,0,0,0,0,22,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\services\StepsService.java,org.cloud.sonic.controller.services.StepsService,interface,7,16,9,7,17,1,0,0,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\dto\TestSuitesDevicesDTO.java,org.cloud.sonic.controller.models.dto.TestSuitesDevicesDTO,class,9,11,2,9,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,18,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\domain\Scripts.java,org.cloud.sonic.controller.models.domain.Scripts,class,18,23,5,18,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,5,0,0,0,0,15,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\BytesTool.java,org.cloud.sonic.controller.tools.BytesTool,class,2,4,2,2,4,1,0,4,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,16,1,0,1,1,0,1,0,1,0,1,2,0,0,0,17,1,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\dto\StepsDTO.java,org.cloud.sonic.controller.models.dto.StepsDTO,class,17,33,16,17,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,15,0,0,0,19,0,0,0,0,0,30,0,0,0,17,0,0,0,0,33,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\controller\ExchangeController.java,org.cloud.sonic.controller.controller.ExchangeController,class,21,21,0,21,7,1,0,13,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,37,6,0,2,0,0,19,1,6,0,8,1,0,0,0,22,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\dto\PublicStepsAndStepsIdDTO.java,org.cloud.sonic.controller.models.dto.PublicStepsAndStepsIdDTO,class,8,12,4,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\http\UpdateDeviceImg.java,org.cloud.sonic.controller.models.http.UpdateDeviceImg,class,3,6,3,3,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,8,0,2,2,2,0,0,0,0,14,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\models\http\DeviceDetailChange.java,org.cloud.sonic.controller.models.http.DeviceDetailChange,class,3,6,3,3,7,1,0,0,3,0.5714286,0.42857143,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,4,0,0,0,0,11,0,3,2,3,0,0,0,0,17,1,0
