file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,generateYouTextView/1[java.lang.String],s,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,generateYouTextView/1[java.lang.String],data,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,generateYouTextView/1[java.lang.String],text,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",data,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",restTemplate,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",failCount,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",warnCount,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",count,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",secret,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\sonic-server\sonic-server-controller\src\main\java\org\cloud\sonic\controller\tools\robot\vendor\YouSpaceImpl.java,org.cloud.sonic.controller.tools.robot.vendor.YouSpaceImpl,"sendWeekReportMessage/11[org.cloud.sonic.controller.tools.robot.vendor.RestTemplate,java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,int,int,int,int]",passCount,3
