file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\item\TitleItem.java,me.ele.uetool.base.item.TitleItem,TitleItem/1[java.lang.String],name,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\item\TitleItem.java,me.ele.uetool.base.item.TitleItem,getName/0,name,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\CustomView.java,me.ele.uetool.sample.CustomView,getMoreAttribution/0,moreAttribution,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\CustomView.java,me.ele.uetool.sample.CustomView,setMoreAttribution/1[java.lang.String],moreAttribution,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETMenu.java,me.ele.uetool.UETMenu$ReverseInterpolator,ReverseInterpolator/1[me.ele.uetool.TimeInterpolator],mWrappedInterpolator,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETMenu.java,me.ele.uetool.UETMenu$ReverseInterpolator,getInterpolation/1[float],mWrappedInterpolator,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog$Adapter$TitleViewHolder,TitleViewHolder/1[me.ele.uetool.View],vTitle,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog$Adapter$TitleViewHolder,bindView/1[me.ele.uetool.base.item.TitleItem],vTitle,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,px2sp/1[float],CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,getScreenHeight/0,CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,getScreenWidth/0,CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,getStatusBarHeight/0,CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,dip2px/1[float],CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,sp2px/1[float],CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\DimenUtil.java,me.ele.uetool.base.DimenUtil,"px2dip/2[float,boolean]",CONTEXT,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,"notifyValidViewItemInserted/3[int,java.util.List<me.ele.uetool.base.Element>,me.ele.uetool.base.Element]",adapter,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,notifyItemRangeRemoved/1[int],adapter,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,setAttrDialogCallback/1[me.ele.uetool.AttrsDialog.AttrDialogCallback],adapter,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,onCreate/1[me.ele.uetool.Bundle],adapter,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,onCreate/1[me.ele.uetool.Bundle],layoutManager,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,onCreate/1[me.ele.uetool.Bundle],vList,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,show/1[me.ele.uetool.base.Element],adapter,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\AttrsDialog.java,me.ele.uetool.AttrsDialog,show/1[me.ele.uetool.base.Element],layoutManager,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\RegionView.java,me.ele.uetool.RegionView,onDraw/1[me.ele.uetool.Canvas],rectF,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\RegionView.java,me.ele.uetool.RegionView,onDraw/1[me.ele.uetool.Canvas],paint,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\RegionView.java,me.ele.uetool.RegionView,drawRegion/1[me.ele.uetool.RectF],rectF,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\AttrsDialogMultiTypePool.java,me.ele.uetool.attrdialog.AttrsDialogMultiTypePool,getItemViewBinder/1[int],binders,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\AttrsDialogMultiTypePool.java,me.ele.uetool.attrdialog.AttrsDialogMultiTypePool,"register/2[java.lang.Class<T>,me.ele.uetool.base.ItemViewBinder<T,?>]",binders,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\AttrsDialogMultiTypePool.java,me.ele.uetool.attrdialog.AttrsDialogMultiTypePool,"register/2[java.lang.Class<T>,me.ele.uetool.base.ItemViewBinder<T,?>]",classes,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\AttrsDialogMultiTypePool.java,me.ele.uetool.attrdialog.AttrsDialogMultiTypePool,getItemType/1[java.lang.Object],classes,1
