file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool-base\src\main\java\me\ele\uetool\base\item\TitleItem.java,me.ele.uetool.base.item.TitleItem,TitleItem/1[java.lang.String],name,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\FilterOutView.java,me.ele.uetool.sample.FilterOutView,"FilterOutView/2[me.ele.uetool.sample.Context,me.ele.uetool.sample.AttributeSet]",context,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\FilterOutView.java,me.ele.uetool.sample.FilterOutView,"FilterOutView/2[me.ele.uetool.sample.Context,me.ele.uetool.sample.AttributeSet]",attrs,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\FilterOutView.java,me.ele.uetool.sample.FilterOutView,FilterOutView/1[me.ele.uetool.sample.Context],context,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\FilterOutView.java,me.ele.uetool.sample.FilterOutView,"FilterOutView/3[me.ele.uetool.sample.Context,me.ele.uetool.sample.AttributeSet,int]",context,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\FilterOutView.java,me.ele.uetool.sample.FilterOutView,"FilterOutView/3[me.ele.uetool.sample.Context,me.ele.uetool.sample.AttributeSet,int]",defStyleAttr,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\main\java\me\ele\uetool\sample\FilterOutView.java,me.ele.uetool.sample.FilterOutView,"FilterOutView/3[me.ele.uetool.sample.Context,me.ele.uetool.sample.AttributeSet,int]",attrs,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETCore.java,me.ele.uetool.UETCore$UETTextView,getAttrs/1[me.ele.uetool.base.Element],textView,6
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETCore.java,me.ele.uetool.UETCore$UETTextView,getAttrs/1[me.ele.uetool.base.Element],items,7
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETCore.java,me.ele.uetool.UETCore$UETTextView,getAttrs/1[me.ele.uetool.base.Element],pairs,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETCore.java,me.ele.uetool.UETCore$UETTextView,getAttrs/1[me.ele.uetool.base.Element],pair,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\UETCore.java,me.ele.uetool.UETCore$UETTextView,getAttrs/1[me.ele.uetool.base.Element],element,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\binder\SwitchItemBinder.java,me.ele.uetool.attrdialog.binder.SwitchItemBinder,"onBindViewHolder/2[me.ele.uetool.AttrsDialog.Adapter.SwitchViewHolder,me.ele.uetool.base.item.SwitchItem]",item,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\binder\SwitchItemBinder.java,me.ele.uetool.attrdialog.binder.SwitchItemBinder,"onBindViewHolder/2[me.ele.uetool.AttrsDialog.Adapter.SwitchViewHolder,me.ele.uetool.base.item.SwitchItem]",holder,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\binder\SwitchItemBinder.java,me.ele.uetool.attrdialog.binder.SwitchItemBinder,"onCreateViewHolder/3[me.ele.uetool.attrdialog.binder.LayoutInflater,me.ele.uetool.attrdialog.binder.ViewGroup,RecyclerView.Adapter]",parent,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\binder\SwitchItemBinder.java,me.ele.uetool.attrdialog.binder.SwitchItemBinder,"onCreateViewHolder/3[me.ele.uetool.attrdialog.binder.LayoutInflater,me.ele.uetool.attrdialog.binder.ViewGroup,RecyclerView.Adapter]",adapter,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\uetool\src\main\java\me\ele\uetool\attrdialog\binder\SwitchItemBinder.java,me.ele.uetool.attrdialog.binder.SwitchItemBinder,"onCreateViewHolder/3[me.ele.uetool.attrdialog.binder.LayoutInflater,me.ele.uetool.attrdialog.binder.ViewGroup,RecyclerView.Adapter]",inflater,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\debug\java\me\ele\uetool\sample\XmlLancet.java,me.ele.uetool.sample.XmlLancet,"inflate/3[me.ele.uetool.sample.Context,int,me.ele.uetool.sample.ViewGroup]",resourceId,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\debug\java\me\ele\uetool\sample\XmlLancet.java,me.ele.uetool.sample.XmlLancet,"inflate/3[me.ele.uetool.sample.Context,int,me.ele.uetool.sample.ViewGroup]",view,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\UETool\app\src\debug\java\me\ele\uetool\sample\XmlLancet.java,me.ele.uetool.sample.XmlLancet,"inflate/3[me.ele.uetool.sample.Context,int,me.ele.uetool.sample.ViewGroup]",root,0
