file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,calculateMd5/0,tvPath,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,calculateMd5/0,tvMd5,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,calculateMd5/0,tvSize,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareMd5/0,tvMd5,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,selectAPKFile/0,REQUEST_CODE_SELECT_APK_FILE,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareFile/0,tvPath,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,"onActivityResult/3[int,int,com.xuexiang.xupdatedemo.fragment.Intent]",tvPath,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,"onActivityResult/3[int,int,com.xuexiang.xupdatedemo.fragment.Intent]",REQUEST_CODE_SELECT_APK_FILE,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setUpper/1[int],upper,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getUpper/0,upper,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,"RandomColor/3[int,int,int]",alpha,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,"RandomColor/3[int,int,int]",lower,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,"RandomColor/3[int,int,int]",upper,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setLower/1[int],lower,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getAlpha/0,alpha,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setAlpha/1[int],alpha,7
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getLower/0,lower,1
