file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,onViewClicked/1[com.xuexiang.xupdatedemo.fragment.View],false,61,4,4,0,4,5,5,18,0,0,1,5,4,2,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,calculateMd5/0,false,81,1,2,1,1,2,9,9,1,1,0,9,0,0,0,0,0,0,1,1,1,1,1,0,0,0,4,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareMd5/0,false,105,1,2,1,1,2,5,8,1,1,0,5,1,1,0,0,0,0,1,0,1,0,1,0,0,0,4,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,initViews/0,false,49,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,initListeners/0,false,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareText/1[java.lang.String],false,121,1,1,1,0,1,5,7,0,1,1,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,selectAPKFile/0,false,132,1,1,1,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,getLayoutId/0,false,44,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareFile/0,false,95,0,1,1,0,2,8,8,1,1,0,8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,"onActivityResult/3[int,int,com.xuexiang.xupdatedemo.fragment.Intent]",false,138,2,0,0,0,3,5,8,0,0,3,5,0,0,0,2,0,0,1,0,0,0,2,0,0,0,25,1,0,false
