file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,onViewClicked/1[com.xuexiang.xupdatedemo.fragment.View],view,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,calculateMd5/0,filePath,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareMd5/0,md5,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareText/1[java.lang.String],shareIntent,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareText/1[java.lang.String],content,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,shareFile/0,filePath,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,"onActivityResult/3[int,int,com.xuexiang.xupdatedemo.fragment.Intent]",data,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,"onActivityResult/3[int,int,com.xuexiang.xupdatedemo.fragment.Intent]",resultCode,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\FileMD5Fragment.java,com.xuexiang.xupdatedemo.fragment.FileMD5Fragment,"onActivityResult/3[int,int,com.xuexiang.xupdatedemo.fragment.Intent]",requestCode,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\listener\IUpdateParseCallback.java,com.xuexiang.xupdate.listener.IUpdateParseCallback,onParseResult/1[com.xuexiang.xupdate.entity.UpdateEntity],updateEntity,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\BasicUseFragment.java,com.xuexiang.xupdatedemo.fragment.BasicUseFragment,initSimpleData/1[java.util.List<java.lang.String>],lists,6
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\fragment\BasicUseFragment.java,com.xuexiang.xupdatedemo.fragment.BasicUseFragment,onItemClick/1[int],position,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setUpper/1[int],upper,4
